"","genes_core"
"1129","mhqR_2"
"1130","miaB"
"1131","mifM"
"1132","minC"
"1133","minD"
"1134","misCA"
"1135","misCB"
"1136","mltF"
"1137","mltG_1"
"1138","mltG_2"
"1139","mmgD"
"1140","mmgE"
"1141","mmgF"
"1142","mneS"
"1143","mngA"
"1144","mnmE"
"1145","mnmG"
"1146","mntP"
"1147","mntR"
"1148","moaA"
"1149","moaC"
"1150","moaE"
"1151","mobA"
"1152","modA"
"1153","modB"
"1154","moeA"
"1155","moeB"
"1156","motB"
"1157","mprA"
"1158","mraZ"
"1159","mreB"
"1160","mreD"
"1161","MroQ"
"1162","mrpA"
"1163","mrpB"
"1164","mrpC"
"1165","mrpE"
"1166","mrpF"
"1167","mrpG"
"1168","mscL"
"1169","msmX"
"1170","msrC"
"1171","mtaB"
"1172","mtlA"
"1173","mtlA_1"
"1174","mtlF"
"1175","mtlR"
"1176","mtnA"
"1177","mtnB"
"1178","mtnD"
"1179","mtnK"
"1180","mtnN"
"1181","mtnW"
"1182","mtrB"
"1183","murAB"
"1184","murB"
"1185","murC"
"1186","murD"
"1187","murE"
"1188","murG_1"
"1189","murJ_1"
"1190","murJ_2"
"1191","murQ"
"1192","mutM"
"1193","mutY"
"1194","nadB"
"1195","nadD"
"1196","nadE"
"1197","nadK1"
"1198","nadR"
"1199","nagB"
"1200","nagP"
"1201","nagR_1"
"1202","namA"
"1203","ndh"
"1204","ndk"
"1205","ndoAI"
"1206","neuA"
"1207","nfrA1"
"1208","nfuA"
"1209","ngcG"
"1210","nhaX"
"1211","nifS"
"1212","nikA"
"1213","nikB_1"
"1214","nikE"
"1215","nin"
"1216","nlhH"
"1217","norG"
"1218","norR_2"
"1219","nprA"
"1220","nrdF"
"1221","nrdR"
"1222","nrnA"
"1223","ntaA"
"1224","ntdB"
"1225","nth"
"1226","nucB_1"
"1227","nudF"
"1228","nupC"
"1229","nusA"
"1230","nusB"
"1231","obg"
"1232","ohrB"
"1233","ohrR"
"1234","opcR_1"
"1235","opcR_2"
"1236","oppD_2"
"1237","oppD_3"
"1238","oppF_3"
"1239","opuAA"
"1240","opuAB"
"1241","opuAC"
"1242","opuD"
"1243","oxdC"
"1244","pabA"
"1245","pabB"
"1246","padC"
"1247","panB"
"1248","panD"
"1249","panS"
"1250","parE"
"1251","patB"
"1252","pbpF"
"1253","pbpG"
"1254","pbpH_1"
"1255","pbpH_2"
"1256","pbuE_1"
"1257","pbuE_4"
"1258","pbuG"
"1259","pccB"
"1260","pcrB"
"1261","pdaA"
"1262","pdhA"
"1263","pdhB"
"1264","pdhC_2"
"1265","pdhC_3"
"1266","pdhC_4"
"1267","pdhD_2"
"1268","pdp"
"1269","pdxK"
"1270","pepA"
"1271","pepT_1"
"1272","pepT_2"
"1273","perR"
"1274","petC_2"
"1275","petD"
"1276","pfkA"
"1277","pfyP_1"
"1278","pfyP_2"
"1279","pgk"
"1280","pglF"
"1281","pgpB"
"1282","pgpH"
"1283","pgsA"
"1284","pheA"
"1285","pheP"
"1286","pheS"
"1287","phoP_2"
"1288","phoR"
"1289","plsC"
"1290","plsX"
"1291","plsY"
"1292","pnp_1"
"1293","pnpB"
"1294","polX"
"1295","pomA"
"1296","potA"
"1297","potB"
"1298","ppaC"
"1299","ppaX_1"
"1300","ppiB"
"1301","ppnKA"
"1302","prfB"
"1303","priA_1"
"1304","prkC"
"1305","prmA"
"1306","prmC"
"1307","proA_1"
"1308","proC_1"
"1309","proC_2"
"1310","proC_3"
"1311","proC_4"
"1312","proS_1"
"1313","prpC"
"1314","prpE"
"1315","prsA2"
"1316","prsW"
"1317","psiE"
"1318","pstA2"
"1319","pstB"
"1320","pstB3"
"1321","pstC"
"1322","pstS1"
"1323","pta_1"
"1324","pta_2"
"1325","pth"
"1326","ptsG"
"1327","ptsH"
"1328","ptsI"
"1329","ptsN"
"1330","pucR_1"
"1331","pucR_2"
"1332","punA"
"1333","purB"
"1334","purC"
"1335","purD"
"1336","purE"
"1337","purH"
"1338","purK"
"1339","purM"
"1340","purN"
"1341","purQ"
"1342","purR"
"1343","purS"
"1344","putB"
"1345","putC"
"1346","putR_1"
"1347","putR_2"
"1348","pxpA"
"1349","pxpB"
"1350","pyk"
"1351","pyrB"
"1352","pyrE"
"1353","pyrF"
"1354","pyrG"
"1355","pyrH"
"1356","pyrK"
"1357","pyrP"
"1358","qacR"
"1359","qcrB"
"1360","qorB"
"1361","qoxA"
"1362","qoxC"
"1363","qoxD"
"1364","queA"
"1365","queC"
"1366","queD"
"1367","queE_1"
"1368","queE_2"
"1369","queF"
"1370","racE"
"1371","rapA_1"
"1372","rapF_2"
"1373","rapG_1"
"1374","rarA"
"1375","rarD"
"1376","rasP"
"1377","rbgA"
"1378","rbsB"
"1379","rbsC_2"
"1380","rbsD"
"1381","rbsK"
"1382","recA"
"1383","recD2"
"1384","recF"
"1385","recG"
"1386","recN"
"1387","recO"
"1388","recR"
"1389","recU"
"1390","relA"
"1391","remA"
"1392","resA_1"
"1393","resA_2"
"1394","resE"
"1395","rex"
"1396","rfbB"
"1397","rfbC"
"1398","rfbF"
"1399","rfbG"
"1400","rghR_1"
"1401","rhaS_1"
"1402","rhlG"
"1403","rho"
"1404","ribA"
"1405","ribB"
"1406","ribD_2"
"1407","ribF"
"1408","ribH"
"1409","ribT"
"1410","ribZ"
"1411","ricR"
"1412","rihA"
"1413","rl5"
"1414","rlhA"
"1415","rlmB"
"1416","rlmCD_2"
"1417","rlmN"
"1418","rluB"
"1419","rluD_1"
"1420","rluD_2"
"1421","rluD_3"
"1422","rmlD"
"1423","rnc"
"1424","rnhA"
"1425","rnjA"
"1426","rnjB"
"1427","rnmV_2"
"1428","rnpA"
"1429","rnz"
"1430","rocF"
"1431","rocR_2"
"1432","rodA"
"1433","rpe"
"1434","rpiR"
"1435","rplGA"
"1436","rplI"
"1437","rplT"
"1438","rpmB"
"1439","rpmE"
"1440","rpmE2"
"1441","rpmGA"
"1442","rpoE_1"
"1443","rpoZ"
"1444","rpsB"
